id_client,recency,frequency,CA,R_score,F_score,M_score,RFM_score,Segment,CanalAcquisition,Recurrent,profit
C0084,25,15,2535.0119,3,4,4,11,VIP,Instagram Ads,1,614.5119000000001
C0085,1,17,4530.4989,4,4,4,12,VIP,Influenceur,1,1298.4629
C0086,15,7,1924.6329999999998,3,4,4,11,VIP,Instagram Ads,1,596.169
C0087,28,14,5040.7532,3,4,4,11,VIP,Instagram Ads,1,1617.7792
C0088,16,10,4096.872,3,4,4,11,VIP,Email,1,1466.404
C0089,3,17,4204.8509,4,4,4,12,VIP,Google Ads,1,1079.2649000000001
C0090,9,13,2481.8504,4,4,4,12,VIP,Email,1,608.2224000000001
C0091,35,12,2945.0890999999997,2,4,4,10,VIP,Influenceur,1,854.0870999999999
C0092,3,15,4145.952,4,4,4,12,VIP,Instagram Ads,1,1255.8239999999998
C0093,7,15,4226.5799,4,4,4,12,VIP,Influenceur,1,1009.6578999999999
C0094,20,16,3990.9307000000003,3,4,4,11,VIP,Instagram Ads,1,1253.6287000000002
C0095,16,22,5104.602,3,4,4,11,VIP,Google Ads,1,1415.412
C0096,15,23,4581.6223,3,4,4,11,VIP,Email,1,1284.9343
C0097,3,14,2792.0073,4,4,4,12,VIP,Google Ads,1,704.0653000000001
C0098,24,9,3353.882,3,4,4,11,VIP,Influenceur,1,1033.936
C0099,2,12,2459.5957,4,4,4,12,VIP,Google Ads,1,626.3276999999999
C0100,29,17,5409.2874,3,4,4,11,VIP,Google Ads,1,1434.5154
C0101,11,18,3839.1215,4,4,4,12,VIP,Instagram Ads,1,832.0455000000001
C0102,2,17,2625.0278,4,4,4,12,VIP,Google Ads,1,599.9618
C0103,22,15,4188.2600999999995,3,4,4,11,VIP,Google Ads,1,1173.6241
C0104,22,14,1250.4193,3,4,3,10,VIP,Email,1,128.99529999999996
C0105,7,16,2370.1989,4,4,4,12,VIP,Email,1,588.4689
C0106,60,12,3922.2650000000003,2,4,4,10,VIP,Email,1,1213.2710000000002
C0107,28,14,1995.9987999999998,3,4,4,11,VIP,Influenceur,1,423.6248
C0108,1,16,5010.4933,4,4,4,12,VIP,Instagram Ads,1,1289.2513000000004
C0109,14,6,1157.6399999999999,3,4,3,10,VIP,Influenceur,1,288.412
C0110,6,11,2417.2016,4,4,4,12,VIP,Instagram Ads,1,487.9516
C0111,5,11,4355.3819,4,4,4,12,VIP,Email,1,1394.7298999999998
C0112,13,14,4893.5404,3,4,4,11,VIP,Instagram Ads,1,1535.6044
C0113,2,9,1657.0874000000001,4,4,3,11,VIP,Instagram Ads,1,385.4734000000001
C0114,7,20,8915.4355,4,4,4,12,VIP,Email,1,2889.0275000000006
C0115,9,13,2827.0512,4,4,4,12,VIP,Google Ads,1,769.7092
C0116,2,8,2049.2952,4,4,4,12,VIP,Instagram Ads,1,559.9092
C0117,3,15,6956.0992,4,4,4,12,VIP,Instagram Ads,1,2234.1372
C0118,1,13,2327.8755,4,4,4,12,VIP,Google Ads,1,459.34150000000005
C0119,1,21,5869.7717,4,4,4,12,VIP,Instagram Ads,1,1856.1397000000002
C0120,1,27,9240.3449,4,4,4,12,VIP,Instagram Ads,1,2950.8769
C0121,2,15,4155.1565,4,4,4,12,VIP,Instagram Ads,1,1127.8425
C0122,6,14,3342.8562,4,4,4,12,VIP,Instagram Ads,1,936.8702000000001
C0123,3,16,4528.1715,4,4,4,12,VIP,Instagram Ads,1,1201.6855
C0124,18,14,4127.3773,3,4,4,11,VIP,Instagram Ads,1,1204.6633000000002
C0125,3,14,1975.6096999999997,4,4,4,12,VIP,Email,1,503.01169999999996
C0126,9,13,5524.9822,4,4,4,12,VIP,Google Ads,1,1440.3262000000004
C0127,8,14,3056.8015,4,4,4,12,VIP,Email,1,753.4074999999999
C0128,12,15,3765.5503,4,4,4,12,VIP,Influenceur,1,1090.9683000000002
C0129,10,8,3122.6906,4,4,4,12,VIP,Email,1,991.0225999999998
C0130,6,21,3079.8836,4,4,4,12,VIP,Email,1,785.5255999999998
C0131,1,18,6967.2244,4,4,4,12,VIP,Email,1,2172.4624000000003
C0132,3,17,6132.384099999999,4,4,4,12,VIP,Email,1,1657.1581
C0133,32,14,3912.4497,3,4,4,11,VIP,Google Ads,1,1288.9557000000002
C0134,14,20,6089.9309,3,4,4,11,VIP,Influenceur,1,1665.5568999999998
C0135,9,18,4106.4007,4,4,4,12,VIP,Google Ads,1,1120.9126999999999
C0136,33,12,4025.1734,3,4,4,11,VIP,Email,1,1206.3514000000002
C0137,19,14,3354.6733999999997,3,4,4,11,VIP,Google Ads,1,948.8134000000001
C0138,7,14,3660.92,4,4,4,12,VIP,Instagram Ads,1,995.5620000000001
C0139,1,14,3682.8347,4,4,4,12,VIP,Instagram Ads,1,923.1407
C0140,5,12,2579.0078999999996,4,4,4,12,VIP,Instagram Ads,1,777.0518999999999
C0141,34,13,2699.4639,3,4,4,11,VIP,Email,1,743.4199000000001
C0142,1,19,6505.5636,4,4,4,12,VIP,Instagram Ads,1,1876.0916000000002
C0143,20,16,3130.2015,3,4,4,11,VIP,Email,1,835.0615
C0144,4,16,2995.7063,4,4,4,12,VIP,Influenceur,1,798.9243
C0145,2,14,3245.8397,4,4,4,12,VIP,Email,1,989.9476999999999
C0146,11,17,5860.3018999999995,4,4,4,12,VIP,Instagram Ads,1,1537.2259
C0147,4,10,2409.8143,4,4,4,12,VIP,Instagram Ads,1,686.7923000000001
C0148,8,18,3602.7206,4,4,4,12,VIP,Google Ads,1,839.6126000000002
C0149,65,12,3052.3871999999997,2,4,4,10,VIP,Instagram Ads,1,808.4951999999998
C0150,15,14,3786.7507,3,4,4,11,VIP,Instagram Ads,1,1066.5287
C0151,19,17,3920.9179,3,4,4,11,VIP,Google Ads,1,1212.4319
C0152,18,15,3911.1510000000003,3,4,4,11,VIP,Influenceur,1,956.3230000000002
C0153,1,15,2177.0816999999997,4,4,4,12,VIP,Influenceur,1,524.2197
C0154,4,12,2379.8552,4,4,4,12,VIP,Instagram Ads,1,537.2752000000003
C0155,5,15,3630.9892,4,4,4,12,VIP,Email,1,842.7692000000001
C0156,3,23,7029.902,4,4,4,12,VIP,Instagram Ads,1,2182.6780000000003
C0157,2,26,11553.7392,4,4,4,12,VIP,Influenceur,1,3580.8112000000006
C0158,11,15,1768.3763999999999,4,4,3,11,VIP,Instagram Ads,1,405.8624
C0159,5,19,5665.1841,4,4,4,12,VIP,Google Ads,1,1408.3481000000002
C0160,29,10,3550.7378,3,4,4,11,VIP,Google Ads,1,1126.3078
C0161,3,16,4313.0788,4,4,4,12,VIP,Instagram Ads,1,1067.1288
C0162,20,16,3803.4536,3,4,4,11,VIP,Influenceur,1,1044.1976
C0163,1,15,4731.740599999999,4,4,4,12,VIP,Influenceur,1,1421.9925999999998
C0164,19,13,2031.0719000000001,3,4,4,11,VIP,Google Ads,1,464.1899000000001
C0165,11,10,3932.5127999999995,4,4,4,12,VIP,Email,1,1249.3487999999998
C0166,2,14,3192.1582,4,4,4,12,VIP,Influenceur,1,775.5602
C0167,25,14,4487.5647,3,4,4,11,VIP,Email,1,1382.8707000000002
C0168,9,16,5775.5195,4,4,4,12,VIP,Email,1,1850.9515000000004
C0169,1,16,4313.0439,4,4,4,12,VIP,Google Ads,1,1151.5439
C0170,1,15,5703.356,4,4,4,12,VIP,Instagram Ads,1,1772.92
C0171,3,12,2832.8151,4,4,4,12,VIP,Instagram Ads,1,744.1210999999998
C0172,9,19,4020.6321,4,4,4,12,VIP,Instagram Ads,1,961.0341000000002
C0173,8,15,4356.9218,4,4,4,12,VIP,Influenceur,1,1193.9738000000002
C0174,1,19,5021.1305999999995,4,4,4,12,VIP,Google Ads,1,1311.8426
C0175,24,9,2977.3158999999996,3,4,4,11,VIP,Email,1,1008.3239
C0176,1,21,4713.8914,4,4,4,12,VIP,Google Ads,1,1217.9494000000002
C0177,1,13,1904.3356999999999,4,4,3,11,VIP,Instagram Ads,1,469.8137
C0178,8,19,7017.5565,4,4,4,12,VIP,Google Ads,1,2240.0265
C0179,18,17,4706.4791000000005,3,4,4,11,VIP,Instagram Ads,1,1379.4491
C0180,4,17,3054.815,4,4,4,12,VIP,Instagram Ads,1,797.7710000000001
C0181,1,15,3304.4656,4,4,4,12,VIP,Instagram Ads,1,859.4256
C0182,12,18,5375.507799999999,4,4,4,12,VIP,Email,1,1786.8337999999999
C0183,1,14,3081.3665,4,4,4,12,VIP,Influenceur,1,687.7705000000001
C0184,10,18,7793.4231,4,4,4,12,VIP,Instagram Ads,1,2484.4471
C0185,13,13,1705.8456,3,4,3,10,VIP,Instagram Ads,1,432.6196
C0186,5,12,4348.9932,4,4,4,12,VIP,Instagram Ads,1,1365.7772
C0187,7,13,5290.9273,4,4,4,12,VIP,Influenceur,1,1727.3853
C0188,25,15,2779.1696,3,4,4,11,VIP,Influenceur,1,712.0816000000001
C0189,7,17,3001.0008,4,4,4,12,VIP,Email,1,709.6628000000001
C0190,27,11,1219.9927,3,4,3,10,VIP,Influenceur,1,239.26870000000005
C0191,8,18,6116.508,4,4,4,12,VIP,Email,1,2032.4560000000001
C0192,10,16,4547.0909,4,4,4,12,VIP,Email,1,1224.8809000000003
C0193,2,20,5826.409900000001,4,4,4,12,VIP,Google Ads,1,1794.1579000000002
C0194,8,15,5433.8348000000005,4,4,4,12,VIP,Influenceur,1,1549.1948
C0195,14,18,4895.9617,3,4,4,11,VIP,Instagram Ads,1,1390.7697
C0196,6,19,5367.5336,4,4,4,12,VIP,Google Ads,1,1610.9116
C0197,11,13,3952.2962999999995,4,4,4,12,VIP,Instagram Ads,1,1218.7503000000002
C0198,18,14,2585.2632,3,4,4,11,VIP,Influenceur,1,693.6732
C0199,3,11,2785.8779,4,4,4,12,VIP,Influenceur,1,606.3559
C0200,2,15,3408.7906,4,4,4,12,VIP,Instagram Ads,1,908.2546
C0201,16,14,4557.1568,3,4,4,11,VIP,Google Ads,1,1569.6588
C0202,18,13,3065.1684,3,4,4,11,VIP,Email,1,776.7684
C0203,12,20,3483.4173,4,4,4,12,VIP,Instagram Ads,1,715.1193000000002
C0204,18,17,2874.5904,3,4,4,11,VIP,Google Ads,1,713.6043999999999
C0205,6,18,3966.8506,4,4,4,12,VIP,Google Ads,1,977.6426000000002
C0206,4,11,3422.1185,4,4,4,12,VIP,Instagram Ads,1,1050.1685000000002
C0207,2,20,7747.8204000000005,4,4,4,12,VIP,Instagram Ads,1,2434.6144000000004
C0208,10,19,3525.8558,4,4,4,12,VIP,Google Ads,1,967.6418
C0209,14,13,4203.8433,3,4,4,11,VIP,Google Ads,1,1174.8073000000002
C0210,11,15,2183.276,4,4,4,12,VIP,Instagram Ads,1,471.47800000000007
C0211,3,13,5051.7473,4,4,4,12,VIP,Email,1,1473.0152999999998
C0212,2,18,5821.0986,4,4,4,12,VIP,Email,1,1513.6966000000002
C0213,1,18,4561.0005,4,4,4,12,VIP,Instagram Ads,1,1247.6645
C0214,10,19,7089.9391,4,4,4,12,VIP,Email,1,2005.2691
C0215,6,14,3225.0325000000003,4,4,4,12,VIP,Google Ads,1,781.7305
C0216,35,13,4133.4728000000005,2,4,4,10,VIP,Influenceur,1,1209.8108000000002
C0217,19,17,2204.0146,3,4,4,11,VIP,Influenceur,1,516.8166
C0218,16,15,4764.5136,3,4,4,11,VIP,Influenceur,1,1405.4456
C0219,8,18,3419.9165,4,4,4,12,VIP,Instagram Ads,1,838.7484999999999
C0220,34,13,3290.6452,3,4,4,11,VIP,Influenceur,1,930.4431999999999
C0221,23,11,2609.9458,3,4,4,11,VIP,Email,1,748.7298
C0222,1,13,3329.7759,4,4,4,12,VIP,Google Ads,1,919.7039000000001
C0223,4,12,1657.1876,4,4,3,11,VIP,Email,1,328.73560000000003
C0224,40,13,3907.8471,2,4,4,10,VIP,Instagram Ads,1,1140.8430999999998
C0225,30,9,1116.1689000000001,3,4,3,10,VIP,Instagram Ads,1,198.9129
C0226,2,13,2685.1963,4,4,4,12,VIP,Email,1,693.5263
C0227,7,15,3214.3787,4,4,4,12,VIP,Google Ads,1,847.7707000000001
C0228,18,7,1464.8737999999998,3,4,3,10,VIP,Instagram Ads,1,354.58379999999994
C0229,21,15,4686.9878,3,4,4,11,VIP,Influenceur,1,1235.5638000000004
C0230,1,13,6435.515,4,4,4,12,VIP,Instagram Ads,1,2024.727
C0231,22,17,5779.3746,3,4,4,11,VIP,Google Ads,1,1703.8866
C0232,9,16,3822.8994999999995,4,4,4,12,VIP,Influenceur,1,1120.9875
C0233,9,11,2677.4373,4,4,4,12,VIP,Influenceur,1,815.8613000000003
C0234,6,19,5702.3765,4,4,4,12,VIP,Email,1,1855.4605000000001
C0235,45,14,3261.4656,2,4,4,10,VIP,Instagram Ads,1,892.7515999999999
C0236,16,15,6183.0898,3,4,4,11,VIP,Google Ads,1,1951.8118
C0237,72,11,4679.9883,2,4,4,10,VIP,Email,1,1442.5103000000001
C0238,31,12,3385.7328999999995,3,4,4,11,VIP,Instagram Ads,1,914.2029
C0239,9,10,3021.419,4,4,4,12,VIP,Instagram Ads,1,676.395
C0240,2,20,3867.0218,4,4,4,12,VIP,Google Ads,1,851.0198000000001
C0241,5,15,5272.0516,4,4,4,12,VIP,Instagram Ads,1,1377.5636000000002
C0242,2,15,7257.4621,4,4,4,12,VIP,Email,1,2265.0461
C0243,14,12,3030.8822000000005,3,4,4,11,VIP,Email,1,780.1442000000003
C0244,16,13,3141.2520999999997,3,4,4,11,VIP,Influenceur,1,971.7461000000001
C0245,1,15,2224.2455,4,4,4,12,VIP,Instagram Ads,1,562.3295
C0246,23,11,2211.326,3,4,4,11,VIP,Google Ads,1,596.44
C0247,4,10,2567.9197999999997,4,4,4,12,VIP,Instagram Ads,1,708.3177999999998
C0248,9,18,6660.048,4,4,4,12,VIP,Google Ads,1,1992.888
C0249,2,18,5345.3069000000005,4,4,4,12,VIP,Instagram Ads,1,1599.6829
C0250,20,17,4805.6442,3,4,4,11,VIP,Influenceur,1,1435.7422
C0251,9,18,4722.7147,4,4,4,12,VIP,Google Ads,1,1014.6507000000003
C0252,1,12,4173.3703,4,4,4,12,VIP,Influenceur,1,1302.6843000000001
C0253,104,10,1045.5967,1,4,3,8,Fidèles,Instagram Ads,1,197.8787
C0254,31,15,3649.3196,3,4,4,11,VIP,Google Ads,1,1091.1375999999998
C0255,1,9,2272.9276,4,4,4,12,VIP,Instagram Ads,1,580.1796
C0256,1,15,1714.3886,4,4,3,11,VIP,Influenceur,1,393.4566
C0257,15,12,2510.3323,3,4,4,11,VIP,Google Ads,1,754.2603
C0258,3,17,4353.6891,4,4,4,12,VIP,Instagram Ads,1,1115.5670999999998
C0259,27,11,2176.8123,3,4,4,11,VIP,Email,1,553.5463000000001
C0260,1,16,4818.3107,4,4,4,12,VIP,Email,1,1399.8427000000001
C0261,11,10,4597.5145999999995,4,4,4,12,VIP,Google Ads,1,1340.5746
C0262,4,13,3537.7021,4,4,4,12,VIP,Influenceur,1,922.1101000000001
C0263,11,12,1433.4955,4,4,3,11,VIP,Influenceur,1,340.3635
C0264,2,7,3843.8667,4,4,4,12,VIP,Email,1,1279.0387
C0265,7,12,3015.8289,4,4,4,12,VIP,Google Ads,1,810.9948999999999
C0266,11,19,10673.226999999999,4,4,4,12,VIP,Instagram Ads,1,3225.097
C0267,34,7,3570.7359,3,4,4,11,VIP,Influenceur,1,1184.0359
C0268,6,14,1765.0435,4,4,3,11,VIP,Email,1,292.2255000000001
C0269,4,18,6242.7876,4,4,4,12,VIP,Instagram Ads,1,1767.3755999999998
C0270,14,10,2421.9745,3,4,4,11,VIP,Email,1,795.1485
C0271,6,16,3983.1011,4,4,4,12,VIP,Google Ads,1,1013.8551000000001
C0272,3,17,6359.6013,4,4,4,12,VIP,Instagram Ads,1,1567.6953
C0273,4,21,7603.8259,4,4,4,12,VIP,Instagram Ads,1,2260.7819000000004
C0274,8,14,3312.6086,4,4,4,12,VIP,Email,1,1003.5946000000001
C0275,35,14,3459.6516,2,4,4,10,VIP,Google Ads,1,995.5756000000002
C0276,12,14,3301.5651,4,4,4,12,VIP,Instagram Ads,1,825.6151000000001
C0277,13,12,4047.7605,3,4,4,11,VIP,Email,1,1227.5025000000003
C0278,2,8,2635.6929999999998,4,4,4,12,VIP,Google Ads,1,885.387
C0279,13,6,1208.5726,3,4,3,10,VIP,Instagram Ads,1,341.1426
C0280,6,19,4463.197,4,4,4,12,VIP,Email,1,1389.2450000000001
C0281,5,12,3546.7003,4,4,4,12,VIP,Instagram Ads,1,871.1883000000001
C0282,1,17,3962.7444,4,4,4,12,VIP,Email,1,1078.1324000000002
C0283,3,18,4693.4809000000005,4,4,4,12,VIP,Email,1,1386.7229
C0284,5,19,4292.6759,4,4,4,12,VIP,Influenceur,1,1054.8799000000001
C0285,18,12,3136.4864000000002,3,4,4,11,VIP,Email,1,717.4964000000002
C0286,23,12,2218.3483,3,4,4,11,VIP,Instagram Ads,1,585.7823
C0287,33,14,3489.5337,3,4,4,11,VIP,Instagram Ads,1,945.6097000000001
C0288,7,13,3870.3156000000004,4,4,4,12,VIP,Influenceur,1,1150.4376000000007
C0289,10,13,4448.1418,4,4,4,12,VIP,Instagram Ads,1,1298.8138000000001
C0290,5,21,3863.6962,4,4,4,12,VIP,Email,1,1065.6362000000001
C0291,6,13,2539.4911,4,4,4,12,VIP,Instagram Ads,1,609.8851
C0292,12,17,3245.8181,4,4,4,12,VIP,Instagram Ads,1,920.2960999999999
C0293,3,16,4899.4679,4,4,4,12,VIP,Instagram Ads,1,1536.6618999999998
C0294,9,13,2465.1682,4,4,4,12,VIP,Email,1,668.5122
C0295,13,10,2335.2592,3,4,4,11,VIP,Instagram Ads,1,650.5472000000001
C0296,6,7,2514.211,4,4,4,12,VIP,Google Ads,1,794.9470000000001
C0297,6,9,4121.0064999999995,4,4,4,12,VIP,Influenceur,1,1363.6425
C0298,2,13,2419.3229,4,4,4,12,VIP,Google Ads,1,678.6729
C0299,18,18,6094.5234,3,4,4,11,VIP,Instagram Ads,1,1591.9094000000002
C0300,2,8,2110.9831,4,4,4,12,VIP,Email,1,613.8471000000001
C0301,23,11,2602.3168,3,4,4,11,VIP,Google Ads,1,660.6268
C0302,6,17,3134.6522,4,4,4,12,VIP,Google Ads,1,804.0382
C0303,1,13,3588.1794,4,4,4,12,VIP,Email,1,1079.6734000000004
C0304,31,12,3005.4964999999997,3,4,4,11,VIP,Instagram Ads,1,822.5085
C0305,20,16,5642.1036,3,4,4,11,VIP,Google Ads,1,1644.6956000000005
C0306,36,8,1147.1835,2,4,3,9,Fidèles,Influenceur,1,292.4135
C0307,7,14,2513.4283,4,4,4,12,VIP,Influenceur,1,673.9243000000001
C0308,1,19,2839.7232000000004,4,4,4,12,VIP,Email,1,560.5712000000002
C0309,2,15,5191.7512,4,4,4,12,VIP,Google Ads,1,1364.9312000000004
C0310,3,24,6182.3563,4,4,4,12,VIP,Instagram Ads,1,1849.9423000000004
C0311,5,16,4469.4924,4,4,4,12,VIP,Instagram Ads,1,1131.4324000000001
C0312,1,20,3052.2672000000002,4,4,4,12,VIP,Instagram Ads,1,683.7952
C0313,11,22,5876.8806,4,4,4,12,VIP,Instagram Ads,1,1549.7446000000004
C0314,9,11,2682.4716,4,4,4,12,VIP,Email,1,738.8756000000001
C0315,4,20,6656.9879,4,4,4,12,VIP,Email,1,1632.1879000000001
C0316,1,13,1858.3692,4,4,3,11,VIP,Google Ads,1,473.8872000000001
C0317,11,11,1477.8675,4,4,3,11,VIP,Instagram Ads,1,275.77750000000003
C0318,21,16,7399.414199999999,3,4,4,11,VIP,Google Ads,1,2599.2322
C0319,27,13,6041.555,3,4,4,11,VIP,Instagram Ads,1,1753.3250000000003
C0320,14,23,6492.0523,3,4,4,11,VIP,Instagram Ads,1,1892.7003000000002
C0321,3,16,3295.913,4,4,4,12,VIP,Instagram Ads,1,716.675
C0322,2,17,2772.163,4,4,4,12,VIP,Google Ads,1,667.0110000000001
C0323,1,12,2468.3541,4,4,4,12,VIP,Influenceur,1,500.6421000000001
C0324,4,17,3981.5067,4,4,4,12,VIP,Instagram Ads,1,1059.6407
C0325,6,14,3117.8948,4,4,4,12,VIP,Instagram Ads,1,711.6688
C0326,5,19,4168.0881,4,4,4,12,VIP,Google Ads,1,1022.5201000000001
C0327,5,15,5507.2686,4,4,4,12,VIP,Google Ads,1,1753.1386
C0328,7,18,5020.4269,4,4,4,12,VIP,Email,1,1454.9709
C0329,17,14,1192.2755,3,4,3,10,VIP,Google Ads,1,152.8375
C0330,20,21,4641.108200000001,3,4,4,11,VIP,Google Ads,1,1211.4102
